lemma,present_phones,past_phones
exclude,IH K S K L UW D,IH K S K L UW D AH D
study,S T AH D IY,S T AH D IY D
determine,D AH T ER M AH N,D IH T ER M AH N D
recognise,R EH K AH G N AY Z,R EH K AH G N AY Z D
it,IH T,IH T
rise,R AY Z,R OW Z
read,R EH D,R EH D
de,D IY,D IH D
have,HH AE V,HH AE D
say,S EY,S EH D
have,HH AE V,HH AE D
doe,D OW,D IH D
it,IH T,IH T
have,HH AE V,HH AE D
omit,OW M IH T,OW M IH T AH D
venture,V EH N CH ER,V EH N CH ER D
it,IH T,IH T
have,HH AE V,HH AE D
bring,B R IH NG,B R AO T
accomplish,AH K AA M P L IH SH,AH K AA M P L IH SH T
let,L EH T,L EH T
eye,AY,AY D
doe,D OW,D IH D
it,IH T,IH T
realise,R IY AH L AY Z,R IY AH L AY Z D
unite,Y UW N AY T,Y UW N AY T IH D
use,Y UW S,Y UW Z D
it,IH T,IH T
de,D IY,D IH D
clad,K L AE D,K L AE D
it,IH T,IH T
edit,EH D AH T,EH D AH T AH D
carry,K AE R IY,K AE R IY D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
pass,P AE S,P AE S T
create,K R IY EY T,K R IY EY T AH D
provide,P R AH V AY D,P R AH V AY D IH D
get,G EH T,G AA T
mention,M EH N SH AH N,M EH N SH AH N D
give,G IH V,G EY V
it,IH T,IH T
retreat,R IY T R IY T,R IY T R IY T AH D
it,IH T,IH T
make,M EY K,M EY D
de,D IY,D IH D
include,IH N K L UW D,IH N K L UW D AH D
survive,S ER V AY V,S ER V AY V D
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
mean,M IY N,M EH N T
create,K R IY EY T,K R IY EY T AH D
it,IH T,IH T
go,G OW,W EH N T
locate,L OW K EY T,L OW K EY T AH D
coast,K OW S T,K OW S T IH D
it,IH T,IH T
interrupt,IH N T ER AH P T,IH N T ER AH P T IH D
observe,AH B Z ER V,AH B Z ER V D
suit,S UW T,S UW T IH D
meet,M IY T,M EH T
approve,AH P R UW V,AH P R UW V D
say,S EY,S EH D
reduce,R AH D UW S,R AH D UW S T
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
make,M EY K,M EY D
doe,D OW,D IH D
it,IH T,IH T
devote,D IH V OW T,D IH V OW T IH D
think,TH IH NG K,TH AO T
become,B IH K AH M,B IH K EY M
think,TH IH NG K,TH AO T
set,S EH T,S EH T
insert,IH N S ER T,IH N S ER T AH D
define,D IH F AY N,D IH F AY N D
make,M EY K,M EY D
say,S EY,S EH D
use,Y UW S,Y UW Z D
base,B EY S,B EY S T
refer,R AH F ER,R AH F ER D
visit,V IH Z IH T,V IH Z IH T IH D
have,HH AE V,HH AE D
entitle,EH N T AY T AH L,EH N T AY T AH L D
wish,W IH SH,W IH SH T
it,IH T,IH T
cost,K AA S T,K AA S T
have,HH AE V,HH AE D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
base,B EY S,B EY S T
use,Y UW S,Y UW Z D
de,D IY,D IH D
doe,D OW,D IH D
make,M EY K,M EY D
it,IH T,IH T
hear,HH IY R,HH ER D
have,HH AE V,HH AE D
doe,D OW,D IH D
live,L AY V,L IH V D
plunge,P L AH N JH,P L AH N JH D
fly,F L AY,F L UW
isolate,AY S AH L EY T,AY S AH L EY T AH D
put,P UH T,P UH T
it,IH T,IH T
record,R AH K AO R D,R AH K AO R D IH D
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
say,S EY,S EH D
make,M EY K,M EY D
point,P OY N T,P OY N T IH D
conclude,K AH N K L UW D,K AH N K L UW D AH D
unite,Y UW N AY T,Y UW N AY T IH D
let,L EH T,L EH T
make,M EY K,M EY D
join,JH OY N,JH OY N D
de,D IY,D IH D
relate,R IH L EY T,R IH L EY T IH D
begin,B IH G IH N,B IH G AE N
visit,V IH Z IH T,V IH Z IH T IH D
have,HH AE V,HH AE D
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
cost,K AA S T,K AA S T
unsell,AH N S EH L,AH N S OW L D
propose,P R AH P OW Z,P R AH P OW Z D
state,S T EY T,S T EY T IH D
de,D IY,D IH D
wish,W IH SH,W IH SH T
live,L AY V,L IH V D
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
put,P UH T,P UH T
wear,W EH R,W AO R
have,HH AE V,HH AE D
broadcast,B R AO D K AE S T,B R AO D K AE S T
de,D IY,D IH D
purchase,P ER CH AH S,P ER CH AH S T
have,HH AE V,HH AE D
conceive,K AH N S IY V,K AH N S IY V D
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
exclude,IH K S K L UW D,IH K S K L UW D AH D
include,IH N K L UW D,IH N K L UW D AH D
pulse,P AH L S,P AH L S T
become,B IH K AH M,B IH K EY M
attack,AH T AE K,AH T AE K T
let,L EH T,L EH T
reduce,R AH D UW S,R AH D UW S T
it,IH T,IH T
engage,EH N G EY JH,EH N G EY JH D
depress,D IH P R EH S,D IH P R EH S T
revolve,R IY V AA L V,R IY V AA L V D
move,M UW V,M UW V D
punish,P AH N IH SH,P AH N IH SH T
de,D IY,D IH D
pay,P EY,P EY D
it,IH T,IH T
square,S K W EH R,S K W EH R D
doe,D OW,D IH D
give,G IH V,G EY V
overwhelm,OW V ER W EH L M,OW V ER W EH L M D
call,K AO L,K AO L D
it,IH T,IH T
it,IH T,IH T
braid,B R EY D,B R EY D IH D
check,CH EH K,CH EH K T
reproduce,R IY P R AH D UW S,R IY P R AH D UW S T
have,HH AE V,HH AE D
weep,W IY P,W EH P T
fall,F AO L,F EH L
live,L AY V,L IH V D
show,SH OW,SH OW D
make,M EY K,M EY D
it,IH T,IH T
remain,R IH M EY N,R IH M EY N D
bring,B R IH NG,B R AO T
beg,B EH G,B EH G D
teach,T IY CH,T AO T
it,IH T,IH T
influence,IH N F L UW AH N S,IH N F L UW AH N S T
furnish,F ER N IH SH,F ER N IH SH T
have,HH AE V,HH AE D
change,CH EY N JH,CH EY N JH D
de,D IY,D IH D
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
it,IH T,IH T
suit,S UW T,S UW T IH D
mistake,M IH S T EY K,M IH S T UH K
have,HH AE V,HH AE D
produce,P R AH D UW S,P R AH D UW S T
strike,S T R AY K,S T R AH K
move,M UW V,M UW V D
think,TH IH NG K,TH AO T
it,IH T,IH T
culminate,K AH L M IH N EY T,K AH L M AH N EY T IH D
have,HH AE V,HH AE D
complete,K AH M P L IY T,K AH M P L IY T AH D
repay,R IY P EY,R IY P EY D
occur,AH K ER,AH K ER D
mention,M EH N SH AH N,M EH N SH AH N D
it,IH T,IH T
it,IH T,IH T
say,S EY,S EH D
join,JH OY N,JH OY N D
doe,D OW,D IH D
include,IH N K L UW D,IH N K L UW D AH D
admit,AH D M IH T,AH D M IH T IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
point,P OY N T,P OY N T IH D
understand,AH N D ER S T AE N D,AH N D ER S T UH D
it,IH T,IH T
use,Y UW S,Y UW Z D
de,D IY,D IH D
set,S EH T,S EH T
realize,R IY AH L AY Z,R IY AH L AY Z D
inspire,IH N S P AY R,IH N S P AY ER D
it,IH T,IH T
it,IH T,IH T
come,K AH M,K EY M
precede,P R IH S IY D,P R IH S IY D IH D
have,HH AE V,HH AE D
hope,HH OW P,HH OW P T
meet,M IY T,M EH T
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
describe,D IH S K R AY B,D IH S K R AY B D
have,HH AE V,HH AE D
create,K R IY EY T,K R IY EY T AH D
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
become,B IH K AH M,B IH K EY M
return,R IH T ER N,R IH T ER N D
bury,B EH R IY,B EH R IY D
let,L EH T,L EH T
think,TH IH NG K,TH AO T
it,IH T,IH T
it,IH T,IH T
de,D IY,D IH D
make,M EY K,M EY D
have,HH AE V,HH AE D
emerge,IH M ER JH,IH M ER JH D
read,R EH D,R EH D
promise,P R AA M AH S,P R AA M AH S T
it,IH T,IH T
ashame,AH SH EY M,AH SH EY M D
leave,L IY V,L EH F T
it,IH T,IH T
acquire,AH K W AY ER,AH K W AY ER D
reduce,R AH D UW S,R AH D UW S T
de,D IY,D IH D
put,P UH T,P UH T
it,IH T,IH T
leave,L IY V,L EH F T
animate,AE N AH M AH T,AE N AH M EY T IH D
hear,HH IY R,HH ER D
point,P OY N T,P OY N T IH D
have,HH AE V,HH AE D
acquit,AH K W IH T,AH K W IH T IH D
derive,D ER AY V,D ER AY V D
it,IH T,IH T
have,HH AE V,HH AE D
embarrass,IH M B EH R AH S,IH M B EH R AH S T
de,D IY,D IH D
complete,K AH M P L IY T,K AH M P L IY T AH D
unite,Y UW N AY T,Y UW N AY T IH D
sit,S IH T,S AE T
let,L EH T,L EH T
pop,P AA P,P AA P T
feel,F IY L,F EH L T
bring,B R IH NG,B R AO T
de,D IY,D IH D
make,M EY K,M EY D
generate,JH EH N ER EY T,JH EH N ER EY T AH D
build,B IH L D,B IH L T
it,IH T,IH T
passe,P AE S EY,P AE S T
provide,P R AH V AY D,P R AH V AY D IH D
pay,P EY,P EY D
become,B IH K AH M,B IH K EY M
indicate,IH N D AH K EY T,IH N D AH K EY T AH D
consist,K AH N S IH S T,K AH N S IH S T AH D
come,K AH M,K EY M
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
have,HH AE V,HH AE D
compose,K AH M P OW Z,K AH M P OW Z D
it,IH T,IH T
think,TH IH NG K,TH AO T
oblige,AH B L AY JH,AH B L AY JH D
doe,D OW,D IH D
satisfy,S AE T AH S F AY,S AE T AH S F AY D
taxi,T AE K S IY,T AE K S IY D
give,G IH V,G EY V
doe,D OW,D IH D
it,IH T,IH T
doe,D OW,D IH D
hear,HH IY R,HH ER D
promise,P R AA M AH S,P R AA M AH S T
hope,HH OW P,HH OW P T
it,IH T,IH T
use,Y UW S,Y UW Z D
become,B IH K AH M,B IH K EY M
receive,R AH S IY V,R AH S IY V D
it,IH T,IH T
miss,M IH S,M IH S T
relate,R IH L EY T,R IH L EY T IH D
enlist,EH N L IH S T,EH N L IH S T IH D
doe,D OW,D IH D
crawl,K R AO L,K R AO L D
send,S EH N D,S EH N T
it,IH T,IH T
penetrate,P EH N AH T R EY T,P EH N AH T R EY T IH D
make,M EY K,M EY D
cum,K AH M,K EY M
store,S T AO R,S T AO R D
dispatch,D IH S P AE CH,D IH S P AE CH T
it,IH T,IH T
deposit,D AH P AA Z IH T,D AH P AA Z IH T IH D
have,HH AE V,HH AE D
oblige,AH B L AY JH,AH B L AY JH D
bring,B R IH NG,B R AO T
de,D IY,D IH D
de,D IY,D IH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
send,S EH N D,S EH N T
it,IH T,IH T
shake,SH EY K,SH UH K
input,IH N P UH T,IH N P UH T
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
it,IH T,IH T
cleave,K L IY V,K L EH F T
write,R AY T,R OW T
measure,M EH ZH ER,M EH ZH ER D
it,IH T,IH T
doe,D OW,D IH D
oppress,AH P R EH S,AH P R EH S T
shade,SH EY D,SH EY D IH D
it,IH T,IH T
leave,L IY V,L EH F T
cause,K AA Z,K AA Z D
attack,AH T AE K,AH T AE K T
have,HH AE V,HH AE D
it,IH T,IH T
hope,HH OW P,HH OW P T
cause,K AA Z,K AA Z D
exercise,EH K S ER S AY Z,EH K S ER S AY Z D
let,L EH T,L EH T
require,R IY K W AY ER,R IY K W AY ER D
divide,D IH V AY D,D IH V AY D IH D
stop,S T AA P,S T AA P T
aim,EY M,EY M D
put,P UH T,P UH T
teach,T IY CH,T AO T
let,L EH T,L EH T
buy,B AY,B AA T
think,TH IH NG K,TH AO T
officiate,AH F IH SH IY EY T,AH F IH SH IY EY T AH D
doe,D OW,D IH D
it,IH T,IH T
lay,L EY,L EY D
it,IH T,IH T
make,M EY K,M EY D
have,HH AE V,HH AE D
change,CH EY N JH,CH EY N JH D
doe,D OW,D IH D
put,P UH T,P UH T
store,S T AO R,S T AO R D
it,IH T,IH T
mean,M IY N,M EH N T
it,IH T,IH T
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
it,IH T,IH T
close,K L OW S,K L OW Z D
cum,K AH M,K EY M
open,OW P AH N,OW P AH N D
it,IH T,IH T
elapse,IH L AE P S,IH L AE P S T
have,HH AE V,HH AE D
feel,F IY L,F EH L T
de,D IY,D IH D
immerse,IH M ER S,IH M ER S T
it,IH T,IH T
it,IH T,IH T
cause,K AA Z,K AA Z D
give,G IH V,G EY V
make,M EY K,M EY D
advise,AE D V AY Z,AE D V AY Z D
rise,R AY Z,R OW Z
return,R IH T ER N,R IH T ER N D
object,AA B JH EH K T,AH B JH EH K T AH D
it,IH T,IH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
use,Y UW S,Y UW Z D
marke,M AA R K,M AA R K T
edge,EH JH,EH JH D
it,IH T,IH T
baptize,B AE P T AY Z,B AE P T AY Z D
acquire,AH K W AY ER,AH K W AY ER D
ask,AE S K,AE S K T
check,CH EH K,CH EH K T
instruct,IH N S T R AH K T,IH N S T R AH K T AH D
have,HH AE V,HH AE D
reassure,R IY AH SH UH R,R IY AH SH UH R D
develop,D IH V EH L AH P,D IH V EH L AH P T
de,D IY,D IH D
put,P UH T,P UH T
apply,AH P L AY,AH P L AY D
outset,AW T S EH T,AW T S EH T
say,S EY,S EH D
it,IH T,IH T
start,S T AA R T,S T AA R T IH D
occupy,AA K Y AH P AY,AA K Y AH P AY D
recognize,R EH K AH G N AY Z,R EH K AH G N AY Z D
apply,AH P L AY,AH P L AY D
hear,HH IY R,HH ER D
have,HH AE V,HH AE D
halt,HH AO L T,HH AO L T AH D
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
doe,D OW,D IH D
it,IH T,IH T
give,G IH V,G EY V
subside,S AH B S AY D,S AH B S AY D IH D
range,R EY N JH,R EY N JH D
it,IH T,IH T
profess,P R AH F EH S,P R AH F EH S T
cause,K AA Z,K AA Z D
it,IH T,IH T
embarrass,IH M B EH R AH S,IH M B EH R AH S T
it,IH T,IH T
estimate,EH S T AH M AH T,EH S T AH M EY T AH D
situate,S IH CH UW EY T,S IH CH UW EY T IH D
calibrate,K AE L AH B R EY T,K AE L AH B R EY T AH D
it,IH T,IH T
exercise,EH K S ER S AY Z,EH K S ER S AY Z D
submit,S AH B M IH T,S AH B M IH T IH D
advance,AH D V AE N S,AH D V AE N S T
define,D IH F AY N,D IH F AY N D
remark,R IH M AA R K,R IH M AA R K T
it,IH T,IH T
show,SH OW,SH OW D
overcome,OW V ER K AH M,OW V ER K EY M
convene,K AH N V IY N,K AH N V IY N D
it,IH T,IH T
avoid,AH V OY D,AH V OY D IH D
it,IH T,IH T
commend,K AH M EH N D,K AH M EH N D IH D
it,IH T,IH T
leave,L IY V,L EH F T
prepare,P R IY P EH R,P R IY P EH R D
produce,P R AH D UW S,P R AH D UW S T
pay,P EY,P EY D
precede,P R IH S IY D,P R IH S IY D IH D
leave,L IY V,L EH F T
close,K L OW S,K L OW Z D
require,R IY K W AY ER,R IY K W AY ER D
satisfy,S AE T AH S F AY,S AE T AH S F AY D
go,G OW,W EH N T
have,HH AE V,HH AE D
list,L IH S T,L IH S T AH D
edit,EH D AH T,EH D AH T AH D
admit,AH D M IH T,AH D M IH T IH D
begin,B IH G IH N,B IH G AE N
have,HH AE V,HH AE D
classify,K L AE S AH F AY,K L AE S AH F AY D
sell,S EH L,S OW L D
it,IH T,IH T
conclude,K AH N K L UW D,K AH N K L UW D AH D
march,M AA R CH,M AA R CH T
marke,M AA R K,M AA R K T
limit,L IH M AH T,L IH M AH T AH D
it,IH T,IH T
understand,AH N D ER S T AE N D,AH N D ER S T UH D
break,B R EY K,B R OW K
check,CH EH K,CH EH K T
unite,Y UW N AY T,Y UW N AY T IH D
suppress,S AH P R EH S,S AH P R EH S T
put,P UH T,P UH T
it,IH T,IH T
continue,K AH N T IH N Y UW,K AH N T IH N Y UW D
have,HH AE V,HH AE D
have,HH AE V,HH AE D
complete,K AH M P L IY T,K AH M P L IY T AH D
pass,P AE S,P AE S T
have,HH AE V,HH AE D
complete,K AH M P L IY T,K AH M P L IY T AH D
lift,L IH F T,L IH F T AH D
phase,F EY Z,F EY Z D
process,P R AA S EH S,P R AA S EH S T
develop,D IH V EH L AH P,D IH V EH L AH P T
focus,F OW K AH S,F OW K AH S T
it,IH T,IH T
it,IH T,IH T
output,AW T P UH T,AW T P UH T
it,IH T,IH T
leave,L IY V,L EH F T
it,IH T,IH T
come,K AH M,K EY M
it,IH T,IH T
produce,P R AH D UW S,P R AH D UW S T
change,CH EY N JH,CH EY N JH D
value,V AE L Y UW,V AE L Y UW D
desire,D IH Z AY ER,D IH Z AY ER D
ask,AE S K,AE S K T
have,HH AE V,HH AE D
set,S EH T,S EH T
have,HH AE V,HH AE D
transmit,T R AE N Z M IH T,T R AE N S M IH T IH D
doe,D OW,D IH D
change,CH EY N JH,CH EY N JH D
say,S EY,S EH D
determine,D AH T ER M AH N,D IH T ER M AH N D
blend,B L EH N D,B L EH N D IH D
it,IH T,IH T
make,M EY K,M EY D
associate,AH S OW S IY AH T,AH S OW S IY EY T IH D
receive,R AH S IY V,R AH S IY V D
have,HH AE V,HH AE D
send,S EH N D,S EH N T
file,F AY L,F AY L D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
restore,R IH S T AO R,R IH S T AO R D
segment,S EH G M AH N T,S EH G M EH N T IH D
spread,S P R EH D,S P R EH D
it,IH T,IH T
determine,D AH T ER M AH N,D IH T ER M AH N D
pattern,P AE T ER N,P AE T ER N D
change,CH EY N JH,CH EY N JH D
de,D IY,D IH D
deserve,D IH Z ER V,D IH Z ER V D
have,HH AE V,HH AE D
involve,IH N V AA L V,IH N V AA L V D
have,HH AE V,HH AE D
modify,M AA D AH F AY,M AA D AH F AY D
bind,B AY N D,B AW N D
think,TH IH NG K,TH AO T
train,T R EY N,T R EY N D
make,M EY K,M EY D
doe,D OW,D IH D
it,IH T,IH T
it,IH T,IH T
drive,D R AY V,D R OW V
set,S EH T,S EH T
say,S EY,S EH D
drum,D R AH M,D R AH M D
go,G OW,W EH N T
base,B EY S,B EY S T
pass,P AE S,P AE S T
use,Y UW S,Y UW Z D
it,IH T,IH T
admire,AE D M AY R,AH D M AY ER D
have,HH AE V,HH AE D
it,IH T,IH T
make,M EY K,M EY D
cum,K AH M,K EY M
defer,D IH F ER,D IH F ER D
get,G EH T,G AA T
wish,W IH SH,W IH SH T
transmit,T R AE N Z M IH T,T R AE N S M IH T IH D
have,HH AE V,HH AE D
it,IH T,IH T
de,D IY,D IH D
require,R IY K W AY ER,R IY K W AY ER D
propose,P R AH P OW Z,P R AH P OW Z D
make,M EY K,M EY D
unite,Y UW N AY T,Y UW N AY T IH D
shake,SH EY K,SH UH K
mind,M AY N D,M AY N D AH D
nod,N AA D,N AA D AH D
wish,W IH SH,W IH SH T
pose,P OW Z,P OW Z D
describe,D IH S K R AY B,D IH S K R AY B D
use,Y UW S,Y UW Z D
start,S T AA R T,S T AA R T IH D
read,R EH D,R EH D
it,IH T,IH T
it,IH T,IH T
point,P OY N T,P OY N T IH D
promise,P R AA M AH S,P R AA M AH S T
it,IH T,IH T
cut,K AH T,K AH T
cum,K AH M,K EY M
have,HH AE V,HH AE D
isolate,AY S AH L EY T,AY S AH L EY T AH D
compel,K AH M P EH L,K AH M P EH L D
carry,K AE R IY,K AE R IY D
it,IH T,IH T
speak,S P IY K,S P OW K
marke,M AA R K,M AA R K T
make,M EY K,M EY D
it,IH T,IH T
meet,M IY T,M EH T
it,IH T,IH T
read,R EH D,R EH D
think,TH IH NG K,TH AO T
it,IH T,IH T
declare,D IH K L EH R,D IH K L EH R D
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
hint,HH IH N T,HH IH N T AH D
fall,F AO L,F EH L
it,IH T,IH T
doe,D OW,D IH D
it,IH T,IH T
unite,Y UW N AY T,Y UW N AY T IH D
procure,P R OW K Y UH R,P R OW K Y UH R D
lean,L IY N,L IY N D
it,IH T,IH T
set,S EH T,S EH T
have,HH AE V,HH AE D
use,Y UW S,Y UW Z D
crowd,K R AW D,K R AW D AH D
it,IH T,IH T
cede,S IY D,S IY D AH D
declare,D IH K L EH R,D IH K L EH R D
come,K AH M,K EY M
it,IH T,IH T
it,IH T,IH T
limit,L IH M AH T,L IH M AH T AH D
say,S EY,S EH D
it,IH T,IH T
invite,IH N V AY T,IH N V AY T AH D
identify,AY D EH N T AH F AY,AY D EH N T AH F AY D
use,Y UW S,Y UW Z D
de,D IY,D IH D
think,TH IH NG K,TH AO T
think,TH IH NG K,TH AO T
push,P UH SH,P UH SH T
indicate,IH N D AH K EY T,IH N D AH K EY T AH D
it,IH T,IH T
catch,K AE CH,K AA T
require,R IY K W AY ER,R IY K W AY ER D
put,P UH T,P UH T
use,Y UW S,Y UW Z D
bind,B AY N D,B AW N D
argue,AA R G Y UW,AA R G Y UW D
agree,AH G R IY,AH G R IY D
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
join,JH OY N,JH OY N D
remain,R IH M EY N,R IH M EY N D
oppose,AH P OW Z,AH P OW Z D
use,Y UW S,Y UW Z D
bite,B AY T,B IH T
say,S EY,S EH D
hear,HH IY R,HH ER D
describe,D IH S K R AY B,D IH S K R AY B D
reduce,R AH D UW S,R AH D UW S T
it,IH T,IH T
advantage,AE D V AE N T IH JH,AE D V AE N T IH JH D
close,K L OW S,K L OW Z D
it,IH T,IH T
it,IH T,IH T
de,D IY,D IH D
achieve,AH CH IY V,AH CH IY V D
send,S EH N D,S EH N T
ask,AE S K,AE S K T
rise,R AY Z,R OW Z
realize,R IY AH L AY Z,R IY AH L AY Z D
de,D IY,D IH D
isolate,AY S AH L EY T,AY S AH L EY T AH D
refer,R AH F ER,R AH F ER D
have,HH AE V,HH AE D
doe,D OW,D IH D
leave,L IY V,L EH F T
expose,IH K S P OW Z,IH K S P OW Z D
it,IH T,IH T
derive,D ER AY V,D ER AY V D
leave,L IY V,L EH F T
passe,P AE S EY,P AE S T
it,IH T,IH T
prescribe,P R AH S K R AY B,P R IY S K R AY B D
cost,K AA S T,K AA S T
it,IH T,IH T
postulate,P AA S CH AH L EY T,P AA S CH AH L EY T IH D
use,Y UW S,Y UW Z D
cut,K AH T,K AH T
ask,AE S K,AE S K T
incur,IH N K ER,IH N K ER D
it,IH T,IH T
prove,P R UW V,P R UW V D
begin,B IH G IH N,B IH G AE N
leave,L IY V,L EH F T
change,CH EY N JH,CH EY N JH D
make,M EY K,M EY D
use,Y UW S,Y UW Z D
make,M EY K,M EY D
it,IH T,IH T
say,S EY,S EH D
occupy,AA K Y AH P AY,AA K Y AH P AY D
de,D IY,D IH D
it,IH T,IH T
it,IH T,IH T
locate,L OW K EY T,L OW K EY T AH D
express,IH K S P R EH S,IH K S P R EH S T
it,IH T,IH T
have,HH AE V,HH AE D
it,IH T,IH T
ride,R AY D,R OW D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
section,S EH K SH AH N,S EH K SH AH N D
make,M EY K,M EY D
make,M EY K,M EY D
satisfy,S AE T AH S F AY,S AE T AH S F AY D
conclude,K AH N K L UW D,K AH N K L UW D AH D
join,JH OY N,JH OY N D
it,IH T,IH T
it,IH T,IH T
have,HH AE V,HH AE D
state,S T EY T,S T EY T IH D
doe,D OW,D IH D
cum,K AH M,K EY M
it,IH T,IH T
ask,AE S K,AE S K T
doe,D OW,D IH D
think,TH IH NG K,TH AO T
have,HH AE V,HH AE D
compute,K AH M P Y UW T,K AH M P Y UW T AH D
invite,IH N V AY T,IH N V AY T AH D
develop,D IH V EH L AH P,D IH V EH L AH P T
surprise,S ER P R AY Z,S ER P R AY Z D
carry,K AE R IY,K AE R IY D
authorize,AO TH ER AY Z,AO TH ER AY Z D
mean,M IY N,M EH N T
worth,W ER TH,W ER TH
advance,AH D V AE N S,AH D V AE N S T
forget,F ER G EH T,F ER G AA T
have,HH AE V,HH AE D
get,G EH T,G AA T
doe,D OW,D IH D
apply,AH P L AY,AH P L AY D
have,HH AE V,HH AE D
it,IH T,IH T
get,G EH T,G AA T
doe,D OW,D IH D
dilate,D AY L EY T,D AY L EY T IH D
include,IH N K L UW D,IH N K L UW D AH D
injure,IH N JH ER,IH N JH ER D
mention,M EH N SH AH N,M EH N SH AH N D
it,IH T,IH T
manifest,M AE N AH F EH S T,M AE N AH F EH S T AH D
doe,D OW,D IH D
possess,P AH Z EH S,P AH Z EH S T
occur,AH K ER,AH K ER D
have,HH AE V,HH AE D
classify,K L AE S AH F AY,K L AE S AH F AY D
wash,W AA SH,W AA SH T
get,G EH T,G AA T
accompany,AH K AH M P AH N IY,AH K AH M P AH N IY D
become,B IH K AH M,B IH K EY M
cook,K UH K,K UH K T
it,IH T,IH T
make,M EY K,M EY D
think,TH IH NG K,TH AO T
let,L EH T,L EH T
have,HH AE V,HH AE D
say,S EY,S EH D
regenerate,R IY JH EH N ER EY T,R IY JH EH N ER EY T IH D
think,TH IH NG K,TH AO T
it,IH T,IH T
it,IH T,IH T
push,P UH SH,P UH SH T
pass,P AE S,P AE S T
have,HH AE V,HH AE D
set,S EH T,S EH T
it,IH T,IH T
require,R IY K W AY ER,R IY K W AY ER D
marry,M EH R IY,M EH R IY D
share,SH EH R,SH EH R D
have,HH AE V,HH AE D
cum,K AH M,K EY M
leave,L IY V,L EH F T
it,IH T,IH T
ferry,F EH R IY,F EH R IY D
produce,P R AH D UW S,P R AH D UW S T
relieve,R IH L IY V,R IH L IY V D
sleep,S L IY P,S L EH P T
clean,K L IY N,K L IY N D
arm,AA R M,AA R M D
send,S EH N D,S EH N T
bring,B R IH NG,B R AO T
startle,S T AA R T AH L,S T AA R T AH L D
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
mean,M IY N,M EH N T
get,G EH T,G AA T
say,S EY,S EH D
call,K AO L,K AO L D
come,K AH M,K EY M
baptize,B AE P T AY Z,B AE P T AY Z D
state,S T EY T,S T EY T IH D
have,HH AE V,HH AE D
state,S T EY T,S T EY T IH D
write,R AY T,R OW T
nominate,N AA M AH N AH T,N AA M AH N EY T AH D
clean,K L IY N,K L IY N D
emerge,IH M ER JH,IH M ER JH D
it,IH T,IH T
animate,AE N AH M AH T,AE N AH M EY T IH D
propose,P R AH P OW Z,P R AH P OW Z D
it,IH T,IH T
it,IH T,IH T
it,IH T,IH T
segregate,S EH G R AH G EY T,S EH G R AH G EY T IH D
debate,D AH B EY T,D AH B EY T IH D
establish,IH S T AE B L IH SH,IH S T AE B L IH SH T
utilize,Y UW T AH L AY Z,Y UW T AH L AY Z D
begin,B IH G IH N,B IH G AE N
begin,B IH G IH N,B IH G AE N
coole,K UW L,K UW L D
have,HH AE V,HH AE D
it,IH T,IH T
make,M EY K,M EY D
it,IH T,IH T
it,IH T,IH T
teach,T IY CH,T AO T
leave,L IY V,L EH F T
consummate,K AA N S AH M AH T,K AA N S AH M EY T AH D
eat,IY T,EY T
de,D IY,D IH D
cut,K AH T,K AH T
it,IH T,IH T
show,SH OW,SH OW D
produce,P R AH D UW S,P R AH D UW S T
come,K AH M,K EY M
outfit,AW T F IH T,AW T F IH T IH D
remove,R IY M UW V,R IY M UW V D
have,HH AE V,HH AE D
pen,P EH N,P EH N D
it,IH T,IH T
let,L EH T,L EH T
mean,M IY N,M EH N T
mean,M IY N,M EH N T
it,IH T,IH T
ask,AE S K,AE S K T
have,HH AE V,HH AE D
think,TH IH NG K,TH AO T
it,IH T,IH T
come,K AH M,K EY M
address,AE D R EH S,AH D R EH S T
